,Jmin,n,l,a,actfn
271,0.1615370810031891,2,4,15.707963267948966,relu
272,0.13569091260433197,4,4,15.707963267948966,relu
273,0.06922878324985504,8,4,15.707963267948966,relu
274,0.004645816050469875,16,4,15.707963267948966,relu
275,0.006576296873390675,32,4,15.707963267948966,relu
276,0.0003780156548600644,64,4,15.707963267948966,relu
277,0.00035848954576067626,128,4,15.707963267948966,relu
278,0.0028217586223036046,256,4,15.707963267948966,relu
279,0.16154080629348755,1,8,15.707963267948966,relu
280,0.16150009632110596,2,8,15.707963267948966,relu
281,0.16145969927310944,4,8,15.707963267948966,relu
282,0.028064524754881855,8,8,15.707963267948966,relu
283,0.00024044941528700287,16,8,15.707963267948966,relu
284,0.000699810974765569,32,8,15.707963267948966,relu
285,0.01519375666975975,64,8,15.707963267948966,relu
286,0.005684449337422848,128,8,15.707963267948966,relu
287,0.006541233509778976,256,8,15.707963267948966,relu
288,0.1614634394645691,1,16,15.707963267948966,relu
289,0.16146273910999298,2,16,15.707963267948966,relu
290,0.16149233281612396,4,16,15.707963267948966,relu
291,0.006347769871354103,8,16,15.707963267948966,relu
292,0.0021209095139056444,16,16,15.707963267948966,relu
293,0.0004159955133218318,32,16,15.707963267948966,relu
294,0.0002532245998736471,64,16,15.707963267948966,relu
295,0.009395533241331576,128,16,15.707963267948966,relu
296,0.1615646779537201,256,16,15.707963267948966,relu
297,0.16146080195903778,1,32,15.707963267948966,relu
298,0.16151899099349976,2,32,15.707963267948966,relu
299,0.16147460043430328,4,32,15.707963267948966,relu
300,0.1616136133670807,8,32,15.707963267948966,relu
301,0.16160590946674347,16,32,15.707963267948966,relu
302,0.16154056787490845,32,32,15.707963267948966,relu
303,0.1615776568651199,64,32,15.707963267948966,relu
304,0.1615227609872818,128,32,15.707963267948966,relu
305,0.16149426996707916,256,32,15.707963267948966,relu
306,0.16147048771381378,1,64,15.707963267948966,relu
307,0.16152414679527283,2,64,15.707963267948966,relu
308,0.16149190068244934,4,64,15.707963267948966,relu
309,0.16149315237998962,8,64,15.707963267948966,relu
310,0.16159529983997345,16,64,15.707963267948966,relu
311,0.1615869104862213,32,64,15.707963267948966,relu
312,0.16157518327236176,64,64,15.707963267948966,relu
313,0.16164211928844452,128,64,15.707963267948966,relu
314,0.1616409868001938,256,64,15.707963267948966,relu
315,0.16144579648971555,1,1,15.707963267948966,sigmoid
316,0.1616363674402237,2,1,15.707963267948966,sigmoid
317,0.15999914705753326,4,1,15.707963267948966,sigmoid
318,0.1616043746471405,8,1,15.707963267948966,sigmoid
319,0.16220997273921967,16,1,15.707963267948966,sigmoid
320,0.16287989914417267,32,1,15.707963267948966,sigmoid
321,0.16242465376853943,64,1,15.707963267948966,sigmoid
322,0.16273020207881927,128,1,15.707963267948966,sigmoid
323,0.16363051533699036,256,1,15.707963267948966,sigmoid
324,0.161689892411232,1,2,15.707963267948966,sigmoid
325,0.16154170036315915,2,2,15.707963267948966,sigmoid
326,0.1608169674873352,4,2,15.707963267948966,sigmoid
327,0.16191816329956055,8,2,15.707963267948966,sigmoid
328,0.1618322879076004,16,2,15.707963267948966,sigmoid
329,0.1636001169681549,32,2,15.707963267948966,sigmoid
330,0.1626802682876587,64,2,15.707963267948966,sigmoid
331,0.1615786254405975,128,2,15.707963267948966,sigmoid
332,0.16497457027435303,256,2,15.707963267948966,sigmoid
333,0.16146695613861084,1,4,15.707963267948966,sigmoid
334,0.16163787245750427,2,4,15.707963267948966,sigmoid
335,0.16200199723243713,4,4,15.707963267948966,sigmoid
